TOPIC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
local area networks,0,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,0,1,0,1,2,2,3,3,4,10,10,6,6,11,7,7,13,10,10,9,15,12,10
formal languages,0,0,38,4,0,0,2,0,6,2,4,2,3,6,2,2,4,3,2,1,0,2,2,1,5,2,6,3,3,7,5,2,2,3,7,5,7,6,10
privacy preserving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,6,4,3,11,5,1,9,12,9,5,8,11,9,16,18,23
game theory,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,3,3,4,4,7,11,9,10,7,22,14,11,22,10,9
context aware,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,11,5,4,7,7,17,8,6,6,12,1,7,5,9,4,8,7,12,9
image enhancement,0,0,2,0,0,0,0,2,1,0,0,0,1,2,3,3,1,3,4,4,5,5,4,4,4,4,3,7,8,3,9,7,3,6,14,10,7,12,12
graphic methods,0,0,2,3,0,2,1,1,0,3,2,2,4,7,8,3,10,6,3,4,1,2,1,1,3,4,9,1,4,3,8,6,13,8,4,7,3,10,3
email,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,6,9,4,6,13,11,11,7,5,6,6,12,3,4,9,10,8,6,7
handheld,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,7,9,6,14,6,9,5,5,6,12,11,10,9,8,6,6,5,11
packet networks,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,3,5,4,0,6,6,9,5,9,13,4,7,12,18,6,8,11,10,6
sensor node,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,1,1,2,6,13,7,6,6,8,6,6,10,10,12,5,15,10,17
mobile application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,4,3,3,5,10,18,8,12,13,21,25,19
argumentation,0,0,3,1,0,1,1,3,4,2,2,2,1,5,3,0,1,3,3,5,1,4,0,2,4,4,4,7,4,3,5,4,3,12,7,6,11,13,14
multicast,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,2,0,3,2,2,3,4,7,11,8,7,7,7,7,5,10,9,10,5,12,8,8
bit error rate,0,0,1,0,0,0,0,1,0,0,1,1,3,2,0,1,0,1,2,3,3,1,4,0,2,6,5,3,6,6,9,10,9,7,9,11,12,14,10
digital storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,2,3,4,5,4,4,3,7,5,10,14,15,13,19,9,18
man machine systems,0,0,1,0,0,1,0,0,1,0,0,0,3,1,3,1,0,0,0,2,0,1,3,0,10,6,2,3,6,11,8,5,7,8,10,8,8,17,17
virtual machine,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,10,2,10,8,9,7,9,8,4,3,2,1,2,1,5,5,3,5,3,9,7,5,13
online searching,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,1,3,2,1,3,3,2,3,2,6,6,5,8,16,12,7,13,8,11,9,2,4,7
web search,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,1,3,2,1,3,3,2,3,2,6,6,5,8,16,12,7,13,8,11,9,2,4,7
quality of service,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,5,3,3,2,9,9,6,5,5,7,6,11,15,7,6,12,9,12
dialogue,0,0,3,1,0,1,1,3,4,2,2,1,1,4,3,0,1,3,2,5,1,3,0,2,4,4,3,5,4,3,5,4,3,12,6,6,11,12,13
broadband networks,0,0,1,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,2,3,4,1,1,0,3,5,7,4,6,6,7,13,7,4,9,14,10,13,10
programming language,0,0,7,2,0,2,5,7,7,6,5,5,6,2,1,4,6,7,3,3,1,2,1,1,2,4,5,2,1,3,2,2,5,2,4,5,7,6,4
fading (radio),0,0,1,0,0,0,0,1,0,0,1,0,3,2,0,1,0,1,2,3,3,1,3,0,2,6,5,3,6,5,8,10,9,6,9,11,11,14,9
architecture knowledge,0,0,0,2,0,1,1,0,0,2,2,1,4,7,3,4,3,2,3,4,2,1,1,2,3,6,2,3,4,13,5,6,4,7,10,2,3,11,10
wireless network,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,3,5,4,0,5,6,8,5,9,12,4,7,9,14,6,7,9,8,5
virtual environment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,7,10,10,5,8,5,2,0,1,1,1,5,6,2,4,7,10,9,9,16
design knowledge,0,0,1,0,0,0,0,0,2,1,2,0,4,2,2,4,7,3,1,4,5,2,2,4,0,2,5,3,9,9,2,11,4,9,7,5,7,7,7
location based service,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,2,11,9,12,6,8,6,5,14,10,10,2,11,11,6
pervasive computing,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,4,5,1,0,3,7,5,7,7,5,8,5,13,6,6,8,7,6,13,7
pervasive,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,4,5,1,0,3,7,5,7,7,5,8,5,13,6,6,8,7,6,13,7
pervasive systems,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,4,5,1,0,3,7,5,7,7,5,8,5,13,6,6,8,7,6,13,7
visual communication,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,5,2,1,3,3,3,3,4,1,2,3,3,6,5,10,6,10,12,9,14,15
imaging systems,0,0,1,0,0,0,0,2,1,1,1,0,2,1,2,2,0,3,0,3,2,1,3,2,1,7,6,6,5,4,2,9,9,9,6,11,7,14,7
image compression,0,0,1,0,0,0,0,2,2,2,1,0,2,2,1,1,1,3,3,2,5,4,7,6,7,4,1,2,2,7,6,5,9,8,8,7,5,6,8
target tracking,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,2,1,4,3,2,2,7,3,4,6,7,7,10,4,6,15,10,9,8,13
wlan,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,2,3,2,4,10,8,4,6,8,7,4,12,8,7,5,14,10,9
web accessibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,7,5,2,4,1,2,4,7,4,3,3,3,6,6,9,9,2,7,10,8,9
reasoner,0,0,37,1,0,0,0,0,2,2,3,1,3,6,2,1,2,3,2,1,0,2,2,0,4,2,4,2,3,7,4,2,1,3,4,4,6,5,7
motion planning,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,3,2,2,1,0,6,3,1,2,2,9,7,4,4,6,14,11,12,14,16
visually impaired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,2,2,3,1,6,7,8,2,2,6,4,8,9,6,11,15,15,12
design decisions,0,0,0,2,0,1,1,0,0,1,2,1,4,7,2,3,3,2,3,4,2,1,1,2,2,6,2,3,4,12,5,6,4,7,9,2,3,10,9
wearable technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,4,3,0,1,1,2,0,2,4,3,12,29,24,22,14
machine design,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,10,4,2,7,6,11,7,5,5,8,9,8,6,13,15
remote control,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,2,3,1,4,8,5,6,7,2,2,1,5,2,2,7,6,6,8,11,7,8,11
humanoid robot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,10,4,2,3,7,11,9,5,6,9,8,10,7,12,16
visual analytics,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,4,3,1,0,1,3,2,2,2,5,3,3,4,4,6,9,11,8,5,14,9,10
user research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,6,5,8,7,10,9,6,6,10,7,11,5,12,6,5
wireless sensor network,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,2,4,9,6,6,4,8,6,4,8,9,8,5,13,8,14
image retrieval,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,4,3,4,5,2,4,4,4,1,5,6,3,7,3,2,6,12,7,6,10,11
disabilities,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,7,0,1,4,6,4,3,3,1,3,7,6,12,5,9,17,17,5
universal design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,6,2,4,1,0,3,3,3,2,5,3,5,6,1,1,5,2,6,2,4
cognitive model,0,0,2,1,0,0,2,2,3,3,2,2,7,1,5,4,4,7,6,7,2,3,3,4,5,6,5,7,4,2,2,2,3,3,2,1,0,2,1
hypertext systems,0,0,0,0,0,0,0,0,2,5,2,2,6,14,6,6,6,11,8,5,10,2,4,0,2,4,2,2,0,4,1,4,2,0,0,1,0,1,3
word error rate,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,0,2,1,1,2,1,3,2,5,4,6,3,3,14,7,6,8,6,3,6,5,6,8,6
collaborative learning,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,2,6,2,4,6,2,6,5,3,7,2,7,4,2,4,9,7,3,3,6,9,6
signal receivers,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,2,2,0,1,0,2,5,4,3,6,4,7,10,5,6,7,10,11,13,8
sensor network,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,2,4,10,5,7,2,7,6,4,7,7,5,7,11,8,14
computer game,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,2,3,3,3,6,9,7,5,5,18,13,8,11,6,6
verification and validation,0,0,2,3,0,2,1,1,1,1,0,0,2,1,0,0,1,0,1,1,1,1,2,4,2,5,3,3,1,4,5,6,5,5,6,7,12,10,13
planar graph,0,0,2,2,0,2,0,1,0,2,2,2,4,7,7,2,9,5,2,3,1,1,0,1,3,2,4,1,4,3,6,3,10,5,2,3,2,6,3
mixed reality,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,4,3,4,3,4,4,2,1,2,1,0,3,7,5,5,9,10,19,15
human robot interaction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,10,4,2,3,6,11,7,5,5,7,8,8,6,12,13
microprocessor chips,0,0,3,0,0,1,1,4,2,1,1,0,2,4,0,1,3,2,1,2,3,1,5,4,1,1,6,4,2,3,5,6,4,6,2,10,3,6,10
mobile interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,7,6,4,3,10,11,10,8,11,7,11,5,10
optical fiber,0,0,5,0,0,0,0,0,2,1,4,0,5,0,1,1,1,3,1,2,5,3,2,0,1,2,2,2,2,5,3,7,4,4,7,9,7,8,10
intelligent agent,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,3,6,0,6,11,2,5,3,5,6,4,4,1,1,2,2,5,3,4,6,5,9,10
privacy issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,3,3,8,4,1,6,6,7,2,5,8,6,13,13,16
requirement engineering,0,0,3,0,0,0,2,1,2,1,1,0,2,3,6,2,3,2,2,2,4,4,2,6,5,5,7,2,5,4,4,5,3,1,3,2,4,4,6
twitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,16,14,9,16,14,6,7,15
manipulator,0,0,2,0,0,0,0,0,0,1,1,0,1,1,2,2,3,0,0,4,0,2,1,1,7,1,0,3,0,3,3,4,9,7,8,9,8,8,17
computer aided instruction,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3,1,1,4,3,4,1,2,0,3,2,3,4,2,4,8,3,5,8,4,4,9,10,8,8
rapid prototyping,0,0,0,0,0,0,1,1,0,3,1,2,4,3,4,2,1,1,3,1,2,1,0,2,0,2,2,2,1,2,0,2,2,4,10,9,7,16,16
computer crime,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,2,1,3,3,2,6,5,5,5,10,4,7,8,1,13,11,14
mobile technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,2,1,2,3,4,6,10,7,7,5,4,14,3,9,9,7,5
code division multiple access,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,2,2,0,1,0,1,5,4,3,5,3,7,10,5,3,7,10,11,12,7
operating system,0,0,6,0,0,2,2,0,0,0,2,0,2,3,2,1,1,1,3,1,3,2,1,0,3,0,6,4,4,7,5,4,4,4,3,7,9,5,7
cellular telephone systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,6,2,7,7,9,15,7,4,7,3,2,3,2,2,10,4
multipath propagation,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,2,2,0,1,0,1,5,4,3,5,3,6,10,5,3,7,10,10,12,7
affective computing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,4,7,5,7,3,4,3,2,5,7,5,5,6,8,9,12
face recognition,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,5,0,1,3,3,5,1,6,4,4,5,4,9,4,10,14,6,12
range finding,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,2,2,0,1,0,1,4,4,3,5,3,6,11,5,3,7,10,10,12,7
range finders,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,2,2,0,1,0,1,4,4,3,5,3,6,11,5,3,7,10,10,12,7
security systems,0,0,3,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,3,0,1,3,1,2,2,1,2,7,9,4,12,10,2,3,8,7,1,11,3
ranging,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,2,2,0,1,0,1,4,4,3,5,3,6,10,5,3,7,10,10,12,7
ultra wideband,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,2,2,0,1,0,1,4,4,3,5,3,6,10,5,3,7,10,10,12,7
smartcard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,1,3,5,4,7,8,7,9,8,10,9,12,8
p2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0,5,0,1,3,2,4,5,8,7,9,16,10,23
videoconferencing,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,1,5,0,1,6,5,4,7,0,3,1,4,3,2,8,8,3,7,7,2,2,3,5
navigation system,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,4,5,4,5,5,8,8,6,6,4,12,5,4,8,5
avatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,0,3,1,3,2,4,4,2,8,5,4,4,4,5,7,15,13
architecting,0,0,0,0,0,1,0,0,0,3,1,0,2,2,4,1,2,2,4,0,3,1,1,1,8,0,3,3,1,2,5,8,4,9,3,2,8,7,4
hypermedia systems,0,0,0,0,0,0,0,0,2,5,2,2,6,14,6,6,6,9,8,4,8,2,3,0,0,2,2,1,0,1,1,1,1,0,0,0,0,1,1
hypermedia,0,0,0,0,0,0,0,0,2,5,2,2,6,14,6,6,6,9,8,4,8,2,3,0,0,2,2,1,0,1,1,1,1,0,0,0,0,1,1
gameplay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,4,2,5,7,14,14,8,11,9,12
ad hoc network,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,3,2,2,9,8,4,3,5,5,2,8,7,6,2,8,6,7
object recognition,0,0,2,0,0,0,0,1,0,0,0,0,2,1,1,0,0,3,1,2,0,5,4,1,3,3,3,3,3,2,6,4,0,4,9,9,8,2,10
multimodal interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,2,3,6,2,1,2,3,2,3,7,8,1,4,4,5,3,3,1,6,10,7
password,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,1,2,4,4,7,8,7,9,7,8,9,11,6
system usability,0,0,0,1,0,0,1,2,0,1,0,0,2,5,4,1,3,5,5,1,6,3,3,2,6,2,5,4,1,3,6,4,2,3,2,1,5,2,1
conceptual design,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,4,5,2,4,4,4,0,4,5,2,3,2,1,7,2,5,4,4,4,4,4,5,4
wearable computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,1,3,3,2,3,1,4,1,2,0,4,9,15,16,11,4
interfaces (computer),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,4,1,0,1,1,2,5,3,4,6,12,6,7,13,7,10
mice (computer peripherals),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,3,6,4,3,9,9,4,1,5,7,9,11,12
hmd,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3,1,0,0,3,1,0,3,0,1,0,1,0,1,1,2,0,2,4,10,11,19,19
digital library,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,12,5,6,1,2,2,0,3,8,2,1,5,2,1,1,8,4,2,4,6,2,4
location based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,8,7,5,5,6,5,9,9,7,2,5,6,2
intelligent buildings,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,6,5,2,0,4,4,4,2,2,4,3,6,12,8,8,10
architectural style,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,2,3,4,7,3,1,3,1,3,1,7,2,2,5,6,2,3,4,5,3,4,5
xp,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,2,6,2,2,1,5,0,1,0,2,0,12,5,8,3,3,3,0,6,2,2,7,1,4
agile software development,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,2,6,2,2,1,5,0,1,0,2,0,12,5,8,3,3,3,0,6,2,2,7,1,4
high level languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,2,4,1,2,1,0,1,3,6,2,3,5,5,4,4,3,3,3,8,6
architecture types,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,1,0,2,3,1,2,3,0,0,2,1,0,0,5,1,1,3,1,5,5,1,13,11,15
digital watermarking,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,2,1,0,3,3,3,3,3,2,7,8,7,2,6,10,9,2,6
usability problems,0,0,0,0,0,0,0,0,0,0,1,0,6,1,2,0,0,0,1,2,0,4,3,3,3,8,3,5,7,2,3,7,4,2,1,3,6,2,3
hand gesture,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,1,0,0,1,2,1,1,0,1,2,1,0,2,2,4,5,5,5,6,7,6,10,4,7
web development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,4,5,4,1,4,2,5,1,2,4,1,6,3,8,5,2,0,2,2,1
validation,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,2,3,2,5,3,3,1,3,2,4,5,3,5,2,10,7,10
motion estimation,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,2,0,0,0,2,4,1,2,4,1,3,1,3,4,1,6,3,7,5,9,6,5,4
biometric,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,2,3,1,1,2,3,1,3,6,6,8,7,10,9,11
ergonomics,0,0,6,1,0,0,0,1,2,1,2,2,5,2,2,3,1,3,1,0,0,0,0,2,3,5,3,3,1,2,2,2,3,5,2,3,4,5,2
assistive technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,3,3,2,3,6,6,5,2,6,14,15,6
mobile web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,3,2,3,4,5,13,5,6,4,5,3,1,3,6,1,4
tactile feedback,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,0,1,0,2,1,1,2,2,3,8,7,5,7,5,3,4,4,4,10
nonlinear control systems,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,1,2,1,1,2,2,0,0,0,4,2,8,1,2,4,3,3,3,4,6,10,5,6
information sharing,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,3,0,0,3,1,3,6,8,8,6,4,5,4,4,7,3,5
video signal processing,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,1,2,3,2,4,3,6,6,3,2,0,1,1,1,2,2,6,7,6,3,2,4,3
haptic feedback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,1,0,1,3,3,7,5,5,5,7,10,11,12
usability study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,4,5,6,6,10,3,1,2,5,5,1,2,5,2,3,4,4
tangible interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,4,2,5,4,0,4,6,1,7,2,6,5,6,1,5,5
radar,0,0,1,0,0,0,1,1,1,0,0,0,1,2,2,2,1,2,2,1,0,2,1,0,0,4,2,3,3,5,1,8,2,3,5,2,3,5,8
android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,6,15,14,9,11
digital media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,2,3,5,4,4,2,6,4,6,10,5,4,5,2,4
brain computer interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,2,4,3,4,3,9,6,6,13,7,10
network architecture,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,1,4,1,0,1,1,4,3,6,0,1,1,2,4,2,5,6,9,1,7,2,3,4
multimedia data,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,3,3,2,0,3,1,1,4,1,1,2,1,5,2,5,4,3,5,3,5,11
semantic web,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,5,1,0,3,2,2,1,3,6,7,6,5,7,4,2,2,3,4,1,0,1
smart home,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,5,3,1,0,2,4,2,2,2,4,3,6,10,8,8,8
blog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,6,10,6,8,5,1,3,6,1,3,6,4
program processors,0,0,2,0,0,0,1,4,2,0,1,0,2,2,0,0,2,1,0,1,3,1,3,1,1,1,5,3,1,2,3,4,1,2,2,7,3,4,7
fpga,0,0,2,1,0,1,1,0,0,0,1,0,4,1,0,1,3,0,1,1,1,0,1,2,4,3,2,3,2,2,4,2,3,2,3,7,4,3,6
3d model,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,1,2,2,1,5,3,5,6,8,12,9,8
engineers,0,0,5,0,0,0,0,0,2,1,3,0,3,0,1,0,1,3,1,1,5,3,1,0,1,2,2,2,2,5,1,5,1,1,5,3,3,4,4
control system,0,0,1,0,0,1,0,0,1,1,1,1,2,1,1,0,0,2,0,0,2,1,1,3,2,2,1,5,0,7,5,2,4,5,1,5,1,4,6
social software,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,2,3,2,1,1,1,0,0,0,1,2,8,6,5,7,10,2,5,1,2,0,2,0,0
usability test,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,2,2,6,3,4,2,6,3,7,2,2,4,1,2,3,4,3,3,2
social networking sites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,9,9,7,8,6,6,1,2
decision support system,0,0,2,0,0,0,1,0,0,1,2,0,1,0,1,1,2,4,1,0,5,1,1,1,0,2,1,1,1,6,1,7,3,1,4,3,2,5,6
object oriented,0,0,0,0,0,0,0,2,0,4,4,1,6,4,5,6,2,3,7,3,3,0,0,1,1,0,0,1,0,0,2,1,0,1,0,2,3,2,2
knowledge representation,0,0,36,3,0,0,1,0,2,1,1,0,1,1,2,1,0,0,2,0,0,1,0,0,1,0,0,1,1,2,1,0,2,1,1,2,1,1,0
accelerometer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,1,4,1,4,4,4,8,3,4,9,6,4,5
computer interface,0,0,0,0,0,0,1,0,1,1,3,0,1,1,1,0,0,2,0,2,2,2,0,1,0,1,1,1,1,3,3,3,0,8,4,2,8,4,8
clustering,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1,1,1,3,0,2,0,1,1,1,1,2,3,5,3,4,2,7,7,6,2,5
computing system,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,5,2,1,2,0,6,0,6,2,1,5,8,6,5,4
drawings,0,0,0,1,0,0,0,2,0,0,2,1,1,2,0,1,1,2,0,1,0,4,3,2,1,0,1,1,1,2,4,4,7,3,7,3,3,1,3
computer software maintenance,0,0,0,1,0,1,0,0,1,0,0,1,0,4,2,0,1,2,1,1,1,1,1,0,3,2,4,4,3,2,2,5,5,2,0,2,5,3,4
design rationale,0,0,0,0,0,0,0,0,0,1,2,1,2,5,1,3,3,2,2,3,1,1,1,1,0,0,1,1,2,7,3,2,3,3,1,2,1,4,4
neural network,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,0,1,0,0,1,0,1,1,2,2,1,0,0,0,1,1,1,0,3,2,2,3,10,22
virtual objects,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,2,1,1,3,0,0,1,0,2,5,5,9,1,10,5,11
observability,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,0,0,0,4,2,6,1,2,3,3,3,2,3,5,8,4,6
user testing,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,2,0,1,0,1,0,1,6,1,4,3,2,1,5,4,4,0,4,4,2,5,2,3,0
design pattern,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,3,2,4,1,1,0,1,3,4,4,3,3,5,1,3,4,7,4,5
ambient intelligence,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,5,10,1,5,1,3,4,1,0,5,3,2,7,3,3,2
source code,0,0,1,1,0,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,3,5,5,4,6,6,0,5,5,6
kinect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,8,13,10,5,7,3
