LEVEL,,,,,,,,,,,,,,TOTAL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3,,,,location-aware,,,,,,,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,2,1,2,0,0,3,0,0,0,2,0,1
3,,,,ambient displays,,,,,,,,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,1,2,2,2,0,0,0,0,0,0,1
3,,,,smart objects,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,3,2,1
3,,,,ubiquitous systems,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1
3,,,,ubiquitous computing environment,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,,,,ubiquitous environment [ubiquitous environments],,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
3,,,,human mobility,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,,,"gui [graphical user interfaces, graphical user interface, graphical user interfaces (gui)]",,,,,,,,,,,769,0,0,1,0,0,3,3,10,3,7,4,9,30,21,34,39,23,29,16,26,16,18,22,16,15,23,28,19,22,21,25,31,29,38,31,33,43,43,38
3,,,,information visualization,,,,,,,,,,377,0,0,0,0,0,0,0,0,0,0,0,2,6,1,10,15,7,11,7,13,8,8,9,11,7,16,14,9,13,14,11,20,18,26,20,24,29,27,21
4,,,,,visual analytics,,,,,,,,,122,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,4,3,1,0,1,3,2,2,2,5,3,3,4,4,6,9,11,8,5,14,9,10
5,,,,,,sense making [sense-making],,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,3,3,2,1,2,2
5,,,,,,intelligence analysis,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,0,0
6,,,,,,,intelligence analysts,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
